country,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3.67,0,0,0,0,136,253,854,1170,1400,2010,2800,3450,4320,5440,7260,9230,11600,13500,14200,15100,16700,17700,17000,18500,17900,20100,22100,23500,23400,25600,31700,31800,30100,27200,20800,29600,30500,41700,52900,60300,63500,78000,84100,0,6920,4100,3830,1050,15800,22800,21800,25300,25600,37400,36500,37500,41300,47600,53800,64200,67900,82400,83100,91900,102000,106000,130000,144000,139000,157000,164000,162000,164000,121000,113000,138000,149000,150000,160000,148000,159000,175000,190000,209000,226000,227000,236000,264000,271000,274000,267000,306000,380000,370000,395000,398000,414000,442000,464000,504000,514000,535000,547000,564000,580000,601000,609000,642000,641000,654000,687000,721000
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,139,290,370,370,367,374,352,2870,5730,5800,6250,5920,12200,7700,4810,7970,11000,12800,14100,14400,14400,0,1130,1650,2430,1960,2530,3050,4100,6400,5980,6670,7320,8260,8720,9030,9390,9070,19300,27700,18400,19700,22600,23900,28900,29500,30600,30900,33100,48800,43700,42200,52900,45400,31900,30400,38500,39800,44200,47300,52200,67200,72300,49100,45200,58900,63200,71100,74100,69300,68100,72200,71700,71800,84600,86400,90900,114000,113000,98300,61500,92200,104000,111000,135000,153000,164000,165000,166000,189000,188000,204000
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,395,393,392,390,389,387,386,384,383,381,380,378,377,376,374,373,371,370,368,367,365,364,362,361,359,358,356,355,353,352,352,347,343,338,333,329,324,319,315,310,305,301,296,291,287,282,277,272,268,263,258,254,249,244,240,235,230,226,221,216,219,221,224,249,227,242,257,246,249,293,238,2390,4540,6690,6040,8100,6740,6490,10000,9560,9850,6430,9270,9490,9540,10200,10400,9970,11500,11500,8460,7020,7120,6360,6840,8200,8820,8450,8350,9740,10500,9630,9550,9100,11700,10900,9730,8970,12300,11200,12400,13100,13500,14200,13700,15100,16400,17800,18500,19400,22500,22100,22900,23300,22100,22300,23600,23600,27400,26300,26100,25600,25700,25600,26800,28600,30300,29900,30100,32900,33600,33500,33700,34800,35800,37500,38800,40700,42400,45200,47600,46100,45700,46200,48200,47600,47700,47400,42100,41700,38000,38200,37200,36700,38500,39900,38800,39000
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,40.3,51.3,66,69.7,91.7,77,80.7,47.7,55,73.3,58.7,110,84.3,88,73.3,132,165,80.7,121,1670,2920,3660,4040,4330,4820,4800,5180,5540,5610,6470,7070,7940,8210,9140,12900,13600,13500,13800,14800,16600,16200,16900,19300,19400,19600,19500,19800,21000,20900,21000,21000,23900,23700,23500,24600,26400,27100,29700,31400,35900,36200,42100,44300,47500,49900,52000,54900,56100,54800,59600,63100,59300,62500,58700,56600,62200,62900,68000,63900,68300,68700,74800,65000,61900,65000,63900,64700,64300
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,671,1230,1070,1610,1270,1480,1470,1700,1870,2680,2310,2980,2770,3000,3070,4110,3810,3790,4360,5070,5960,6280,6650,7370,8380,8340,10200,10900,11300,12200,11000,10900,10500,13100,12000,11400,11900,12400,13600,13900,13500,15000,15300,16200,17900,21100,22800,23300,25700,25800,26600,27900,30000,27300,23800,23500,16100,19000,18600,17900,21900,25700,26800,32200,31000,35900,40400,38200,44100,39600,34200,28100,30500,39700,45400,32000,45200,45000,46200,49100,42900,41900,7120,3590,4360,22200,36800,35600,39800,41500,48900,50700,56100,65000,73400,83600,87200,87700,94200,109000,124000,146000,165000,176000,190000,214000,234000,249000,270000,297000,311000,329000,354000,359000,341000,366000,355000,372000,386000,387000,376000,367000,359000,365000,369000,363000,380000,386000,405000,440000,440000,438000,431000,425000,452000,445000,449000,460000,465000,471000,476000,478000,491000,495000,495000,489000,479000,468000,417000,427000,414000,393000,364000,349000,356000,354000,349000,338000
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,521,565,616,792,986,1260,1610,1360,1840,1470,2130,2120,2400,4070,2990,3520,3870,3880,4270,4990,5750,6290,8300,7600,8190,7280,7450,9120,8540,8450,7410,6220,6450,5150,5050,4550,5380,4530,6730,7530,7760,7720,8010,8200,9180,9700,10100,9700,9970,10300,10600,10200,10700,10600,10400,11400,9620,9950,7620,7130,7680,7330,7950,7290,7590,8170,8180,8200
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,18.3,18.3,25.7,33,40.3,587,1440,1400,1290,1860,2320,2350,2420,2520,2710,2960,3350,3610,4480,5170,6260,6760,8130,8080,8580,11000,12200,12900,13600,17300,17300,19400,23300,25000,25800,29100,30000,32900,35100,37700,38300,39400,44200,49300,54400,58100,52900,58600,67500,71600,79300,74300,66900,71500,76000,79400,82100,82700,89600,92500,95000,86300,78000,78100,91400,101000,106000,117000,126000,132000,128000,153000,155000,148000,151000,139000,76700,52800,70100,88200,98500,103000,124000,131000,146000,143000,142000,161000,188000,181000,193000,233000,283000,293000,325000,359000,387000,420000,490000,562000,654000,769000,797000,853000,915000,915000,869000,908000,934000,902000,954000,946000,928000,898000,882000,938000,913000,913000,903000,986000,1020000,1160000,1170000,1180000,1170000,1230000,1240000,1250000,1250000,1210000,1240000,1270000,1250000,1280000,1290000,1280000,1290000,1270000,1300000,1230000,1160000,1220000,1270000,1310000,1320000,1270000,1230000,1210000,1190000,1160000
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,161,194,213,253,381,451,495,524,656,744,978,1050,1220,1240,1420,1580,1410,1510,1760,1560,1660,1920,2200,2230,2490,2950,3160,3630,3780,4700,5830,6260,7310,8250,8430,9170,9510,9180,9090,10500,9910,12000,11800,13300,13200,13800,14100,14300,14300,15200,15600,16400,17000,18700,20500,20500,21500,20700,21400,20600,21300,23800,23800,25900,25500,24400,24200,24100
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,1.72,1.15,1.44,1.88,2.32,2.76,3.2,3.64,4.07,4.51,4.95,5.39,5.83,6.27,6.71,7.15,7.59,8.03,8.47,8.91,12.5,16.2,19.8,23.4,27,30.7,34.3,37.9,40.2,53.2,67.5,60.9,63.8,71.6,68.4,216,248,206,280,304,410,421,395,480,552,686,700,914,938,1100,1160,1220,1390,1410,1540,1580,1670,1740,1880,2130,2340,2480,2910,2960,3400,3460,4000,4490,5210,5900,6060,5850,5720,6370,5680,6480,7260,7310,7710,7560,7840,8880,9650,8710,8000,8520,7840,3130,2670,2440,2640,3220,3560,4240,4190,6060,7540,8380,9020,12300,14700,16600,18500,22400,25400,29100,29800,31400,31800,38100,33500,23100,29400,27600,29200,32800,39500,42000,47800,53300,57700,61800,65400,71400,81000,88800,97200,104000,89600,93300,96200,101000,108000,115000,122000,129000,135000,139000,144000,152000,161000,169000,177000,183000,193000,200000,207000,213000,215000,224000,219000,223000,226000,228000,246000,247000,246000,252000,247000,267000,257000,233000,205000,171000,163000,149000,140000,135000,108000,134000,128000,146000,164000,170000,184000,207000,213000,213000,209000,236000,227000,234000,240000,257000,264000,268000,284000,322000
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909,1390,1590,1510,1700,1990,2220,2280,2090,2210,2430,2400,2620,2860,2830,2470,2680,2700,2820,3130,3080,3680,3870,3920,4950,4970,4600,5040,5300,5020,6160,6480,4640,4600,4260,3720,4080,5080,4690,5090,5690,4710,5410,6220,6430,7410,9160,8130,9900,10000,10300,9240,7830,6590,7440,8350,9340,9550,9920,12000,11800,12900,12000,12800,13800,16300,17200,18100,18500
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,11,18.3,18.3,11,11,22,33,11,22,29.3,25.7,36.7,33,33,33,22,22,25.7,29.3,29.3,25.7,22,22,22,18.3,22,22,22,22,22,25.7,29.3,29.3,29.3,29.3,29.3,29.3,29.3,33,29.3,40.3,44,47.7,58.7,66,58.7,66,55,58.7,55,51.3,51.3,58.7,62.3,66,67.8,69.6
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2460,6750,337,1060,385,117,0,0,1400,1850,1040,2200,3690,3800,7800,9980,14300,17000,25300,35400,35200,25400,22400,26800,25000,27100,27600,24200,19300,16800,18500,17200,21000,17600,24600,25200,21100,21600,28300,29100,35300,31400,32900,35800,37800,14900,29700,49200,55300,54600,50000,54700,51600,53900,53400,57500,58000,59700,63200,71200,73400,74900,82400,87000,89300,86300,100000,94400,87800,92400,98100,97700,98100
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0615,0.0738,0.0492,0.0615,0.0803,0.0991,0.118,0.137,0.156,0.174,0.193,0.212,0.231,0.25,0.269,0.287,0.306,0.325,0.344,0.363,0.381,0.536,0.691,0.847,1,1.16,1.31,1.47,1.62,1.72,2.28,2.89,2.61,2.73,3.06,2.93,9.25,10.6,8.83,12,13,17.6,18,16.9,20.5,23.6,29.3,29.9,39.1,40.2,47.1,49.6,52.3,59.5,60.4,65.8,67.5,71.4,74.5,80.4,91.1,100,106,124,127,146,148,171,192,223,253,259,250,245,273,243,278,311,313,330,324,336,380,413,373,342,365,336,134,114,104,113,138,152,182,179,260,323,359,386,525,631,711,794,960,1090,1250,1270,1350,1360,1630,1430,987,1260,1180,1250,1400,1690,1800,2050,2280,2470,2650,2800,3060,3470,3800,4160,4440,8250,8590,8860,9300,9970,10600,11200,11900,12400,12800,13300,14000,14800,15600,16300,16900,17800,18400,19100,19700,19800,20600,20200,20600,20900,21100,22700,22800,22600,23200,22700,21200,18600,11100,8510,6150,4510,5670,5580,5920,4650,4610,3870,4920,5390,5810,5520,5420,6520,7550,6740,6320,7560,10000,9670,10100,10300,9650,9470,10100
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,58.7,58.7,73.3,77,80.7,114,132,147,172,180,235,319,169,319,572,422,488,517,293,253,224,231,231,224,187,150,158,180,183,205,209,213,213,231,513,546,593,608,634,670,752,792,821,847,959,1060,1160,1220,1280,1340,1750,1830,2130,2670,3000,3170,3400,4010,4330,8810,17500,18200,19300
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,18.3,36.7,36.7,25.7,25.7,36.7,36.7,51.3,58.7,77,80.7,398,716,1030,1350,1670,1990,2300,2620,2940,3260,3570,3890,4210,4530,4850,5160,5480,5800,6120,6430,6700,6910,7250,7780,8280,8780,9270,9700,9980,10400,10900,11600,12200,12700,13200,13900,14500,15000,15500,15600,16200,15900,16200,16500,16600,17900,18000,17900,18400,18000,19500,17800,14100,11800,10300,9100,9180,8650,8290,7700,7070,7480,7510,7730,7740,7820,8320,8640,8200,7460,8560,7820,7530,7390,7190,7280,7240,7240,7200
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,11,14.7,33,51.3,58.7,62.3,62.3,58.7,22,22,352,36.7,66,73.3,73.3,84.3,103,117,1510,1460,1180,1250,1310,1620,1890,2070,1980,2450,2580,2680,2850,3030,3260,3310,3630,3570,3700,4350,3940,5300,5660,7070,7090,6270,5930,5390,5500,5790,5890,5850,5720,6950,6720,7770,7480,7680,7350,7730,7870,8120,9730,10400,11100,12300,12800,15100,16300,16400,15500,16400,16300,18500,17200,16700,14800,13800,17400,21000,20000,20300,22400,22200,23700,24100,24500,24100,24200
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470,1530,1590,1640,1680,1710,1740,1770,1800,1830,1850,1880,1910,1930,1980,2010,2040,2080,2130,2220,2280,2330,2400,2420,2430,2350,2510,2790,2660
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7,44,55,58.7,103,58.7,47.7,84.3,161,143,165,161,253,356,484,557,612,612,884,1270,1450,1530,1510,1480,1720,1480,1480,1470,1500,1940,2040,1940,598,707,696,717,723,759,810,660,469,370,388,425,422,425,435,454,483,391,422,448,435,467,546,656,673,628,536,476,762,852,965,878,1190,1210,1360,1500,1560
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,169,165,249,301,429,330,312,352,433,693,1200,1050,1460,664,1020,2630,18500,30100,35600,32300,21600,15200,14600,9350,11600,17900,20100,21200,25900,26800,28700,30600,30200,28300,31000,33900,32400,36200,37100,36500,42700,37100,38700,43800,45700,43800,44700,45200,44300,46800,47800,47500,48800,50000,51700,52700,49400,55400,57200,61200,39300,52500,56000,58700,56400,50100,52400,54100
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,206,207,215,201,204,206,219,229,227,217,215,220,230,230,229,231,201,220,206,191,177,185,193,161,159,149,155,153
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121,0.146,0.0972,0.121,0.159,0.196,0.233,0.27,0.307,0.344,0.382,0.419,0.456,0.493,0.53,0.567,0.605,0.642,0.679,0.716,0.753,1.06,1.37,1.67,1.98,2.28,2.59,2.9,3.21,3.4,4.49,5.71,5.15,5.39,6.05,5.78,18.3,21,17.4,23.7,25.7,34.7,35.6,33.4,40.5,46.7,57.9,59.1,77.3,79.3,93,98,103,117,119,130,133,141,147,159,180,198,210,246,250,288,293,338,380,440,499,512,495,484,538,480,548,614,618,652,639,663,751,816,736,676,720,663,264,226,206,223,272,301,358,354,513,637,708,762,1040,1250,1400,1570,1900,2150,2460,2520,2660,2690,3220,2830,1950,2490,2330,2470,2770,3340,3550,4040,4500,4880,5230,5530,6040,6850,7510,8210,8770,12000,12500,12900,13500,14500,15400,16400,17300,18100,18600,19400,20400,21700,22900,23900,24900,26200,27200,28200,29200,29400,30600,30100,30700,31200,31500,33900,34000,33900,34800,34100,35800,37900,21200,16300,15800,15000,15700,15100,15900,13400,11800,12500,12600,12600,13200,14100,14400,15800,15100,12800,13700,14100,14100,13100,12900,13100,13100,13400,13600
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,36.7,44,51.3,58.7,7430,9020,9410,8660,8790,9890,10400,10800,10100,10400,11500,11600,11600,11400,12300,12200,11600,11400,12300,13200,13700,13200,13500,14200,14400,11900,11900,11000,11900,12200,11100,9500,8940,8380,9020,9260,9140,8840,9130,9880,11900,12500,12200,12400,11600,9170,9220,8570,7690,8150,8740,9230,10000,10500,11900,12100,11900,11300,11200,10700,11200,11100,10900,10300,9830,9340,9080,9250,9590
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,7.33,3.67,4.03,4.4,4.77,5.13,5.5,5.87,6.23,6.6,6.97,7.33,5.5,3.67,3.67,3.67,304,246,308,253,290,304,319,315,374,374,400,356,396,462,484,557,579,843,913,850,971,1030,1290,1070,1190,1690,993,846,1020,1130,1620,1030,1010,651,867,1050,1140,1280,1290,927,930,1010,981,1010,1250,1290,1340,1620,1710,1820,1870,1740,1230,1680,1790,1730,1670,1780,1870,1760,1940,2380,2740,3150,3270,3620,3880,4180,4280
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,439,374,361,347,330,348,429,367,388,381,454,502,546,572,550,579,582,637,669,635,709,602,592,572,553,554,549,541,538,559,740,785,786,880,905,908,905,948,923,922,866,793,847,904,912,907,919,970,1090,1100,1030,1140,1130,1160,1020,1120,1260,1350,1380
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3190,4200,4690,4780,5830,7410,8390,9840,10100,10500,9150,14600,16700,17900,17500,19100,19500,23900,22600,23300,27300,28100,30900,30700,38100,34800,36400,40100,40900,42900,50100,56900,68300,74400,90800,93100,120000,124000,124000,114000,108000,127000,135000,136000,157000,172000,182000,179000,183000,203000,197000,217000,218000,216000,235000,241000,233000,247000,247000,255000
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,3.67,3.67,7.33,11,14.7,22,29.3,44,47.7,47.7,51.3,58.7,66,80.7,80.7,95.3,125,172,154,231,198,198,249,290,330,301,422,451,462,594,506,667,601,759,781,843,884,935,986,1110,1090,1320,1300,1440,1480,1520
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7,121,117,139,176,176,198,191,224,198,161,202,227,246,268,304,341,341,414,395,428,392,395,365,417,435,406,380,358,383,416,423,434,449,460,468,472,494,529,770,803,832,840,858,858,891,917,1080,1300,1560,1790,1980,2160,2300,2650,2910,3100,3110,3440,3560
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,257,242,231,308,341,297,312,330,389,341,293,330,411,499,473,414,521,638,653,664,660,840,807,744,667,763,803,935,906,1020,1140,1310,997,1360,1200,1490,1860,2010,2170,1940,2110,2310,2320,2490,2480,2440,2480,2490,2530,2530,2430,2420,2630,2540,2600,2610,2690,2760,2530,2530,2610,2770,2440,2430,1720,1410,1610,1580
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,84.3,84.3,88,88,88,91.7,88,99,103,110,106,117,114,121,125,128,132,136,139,136,139,143,143,143,147,151
